species absorbance  date    replicate   ng_m6A 
NC  0.168   2017-12-14  1   0
PC1 0.368   2017-12-14  1   0.004 
PC2 0.545   2017-12-14  1   0.01
PC3 0.762   2017-12-14  1   0.02
PC4 1.189   2017-12-14  1   0.04
PC6 2.728   2017-12-14  1   0.2
PC7 3.142   2017-12-14  1   0.4
B.subtilis  0.462   2017-12-14  1 
C.neoformans    0.190   2017-12-14  1   
E.coli  2.353   2017-12-14  1
E.faecalis  0.879   2017-12-14  1
L.fermentum  0.276   2017-12-14  1
L.monocytogenes 0.913   2017-12-14  1
P.aeruginosa    0.124   2017-12-14  1
S.aureus    0.639   2017-12-14  1
S.cerevisiae    0.359   2017-12-14  1
S.enterica  2.987   2017-12-14  1
NC  0.077   2017-12-16  2   0
PC1 0.187   2017-12-16  2   0.004
PC2 0.253   2017-12-16  2   0.01
PC3 0.316   2017-12-16  2   0.02
PC4 0.413   2017-12-16  2   0.04
PC5 0.882   2017-12-16  1   0.1
PC6 1.108   2017-12-16  2   0.2
PC7 1.433   2017-12-16  2   0.4
B.subtilis  0.158   2017-12-16  2
C.neoformans    0.083   2017-12-16  2
E.faecalis  0.459   2017-12-16  2
L.fermentum  0.125   2017-12-16  2
L.monocytogenes 0.269   2017-12-16  2
P.aeruginosa    0.073   2017-12-16  2
S.aureus    0.271   2017-12-16  2
S.cerevisiae    0.111   2017-12-16  2
E.coli  1.211   2017-12-16  2
S.enterica  1.675   2017-12-16  2
PC7 1.411   #2017-12-16  3   0.4
PC5 1.123   2017-12-16  2   0.1
NC  0.102   #2017-12-16  3   0
